Start,End,Open,High,Low,Close,Volume,Market Cap
03/09/2024,04/09/2024,59105.91,59764,57544.01,57544.01,1.1084E+11,1.15751E+12
02/09/2024,03/09/2024,57333.38,59350.72,57297.96,59127.62,1.11999E+11,1.14967E+12
01/09/2024,02/09/2024,58972.96,59038.16,57268.97,57341.08,99808533702,1.14997E+12
31/08/2024,01/09/2024,59115.46,59382.99,58800.05,58965.98,1.0272E+11,1.16683E+12
30/08/2024,31/08/2024,59295.05,59763.02,57944,59158,1.06978E+11,1.16636E+12
29/08/2024,30/08/2024,59076.95,61106.97,58821.98,59348.98,1.1031E+11,1.17804E+12
28/08/2024,29/08/2024,59320.04,60162,57933.03,59034.65,1.25193E+11,1.17004E+12
27/08/2024,28/08/2024,62828.6,63189.69,58564.03,59503.05,1.09128E+11,1.22702E+12
26/08/2024,27/08/2024,64347.03,64374.01,62866.04,62866.04,1.01204E+11,1.25671E+12
25/08/2024,26/08/2024,64184.99,64837.15,63792.95,64279.03,94619490855,1.26532E+12
24/08/2024,25/08/2024,64090.69,64416.96,63625.97,64107.98,1.25882E+11,1.26441E+12
23/08/2024,24/08/2024,60392.09,64851.37,60392.09,63979.97,1.09681E+11,1.21889E+12
22/08/2024,23/08/2024,61167.48,61379.44,59953.14,60386.02,1.09926E+11,1.19743E+12
21/08/2024,22/08/2024,59114.41,61813.19,58907.09,61109.99,1.09457E+11,1.18093E+12
20/08/2024,21/08/2024,59448,61315.96,58705.68,59056.01,1.0362E+11,1.18595E+12
19/08/2024,20/08/2024,58320.02,59562.71,57928.86,59562.71,93178855472,1.15751E+12
18/08/2024,19/08/2024,59479.04,60212.28,58525.95,58525.95,80655928563,1.17754E+12
17/08/2024,18/08/2024,58902.94,59669.97,58855.66,59420.03,88140111622,1.16988E+12
16/08/2024,17/08/2024,57523.11,59806.42,57168.52,58902.1,1.06395E+11,1.15335E+12
15/08/2024,16/08/2024,58731.42,59808.54,56658.81,57600,1.03562E+11,1.15232E+12
14/08/2024,15/08/2024,60460.83,61459.95,58577.96,58730.93,1.00246E+11,1.1868E+12
13/08/2024,14/08/2024,59455.98,61507.57,58526.98,60565.01,1.03696E+11,1.17838E+12
12/08/2024,13/08/2024,58804.02,60469.67,57916.99,59342.02,1.00106E+11,1.16423E+12
11/08/2024,12/08/2024,60958.03,61554.95,58439.57,58819.99,79394741807,1.19244E+12
10/08/2024,11/08/2024,60707.54,61178.66,60262.05,60875.98,95154408737,1.19842E+12
09/08/2024,10/08/2024,61642.59,61642.59,59699.99,60848.51,1.19381E+11,1.19805E+12
08/08/2024,09/08/2024,55208.09,62442.19,54745.98,61837.93,1.15083E+11,1.14828E+12
07/08/2024,08/08/2024,55931.96,57657.97,54669.95,55024.11,1.15543E+11,1.11152E+12
06/08/2024,07/08/2024,54153.99,56949.51,54153.99,55982.04,1.8007E+11,1.10228E+12
05/08/2024,06/08/2024,58282.02,58282.02,49435.77,54006,2.12196E+11,1.05411E+12
04/08/2024,05/08/2024,60721.48,61077.99,57382,58074.85,92944193833,1.18378E+12
03/08/2024,04/08/2024,61551.85,62193.7,59959.55,60760.03,1.27508E+11,1.20985E+12
02/08/2024,03/08/2024,65470.03,65526.01,61377.99,61487.05,1.26678E+11,1.25966E+12
01/08/2024,02/08/2024,64690.06,65535.99,62356.12,65409.83,1.15915E+11,1.26548E+12
31/07/2024,01/08/2024,66095.88,66779.95,64565.99,64665.98,1.04725E+11,1.30044E+12
30/07/2024,31/07/2024,66743.69,66988.03,65500.99,66244.03,1.1428E+11,1.30817E+12
29/07/2024,30/07/2024,68190.01,69947.98,66694.08,66810.03,1.01384E+11,1.35183E+12
28/07/2024,29/07/2024,67699.97,68270.69,67070.3,68234.91,1.15847E+11,1.33633E+12
27/07/2024,28/07/2024,67865.97,69386.01,66800.05,68045.98,1.02399E+11,1.34512E+12
26/07/2024,27/07/2024,65828.01,68200.04,65828.01,67914.02,1.13089E+11,1.32552E+12
25/07/2024,26/07/2024,65453.96,66042.03,63509.02,65750.02,1.1109E+11,1.27297E+12
24/07/2024,25/07/2024,65989.99,67054,65249.96,65412.03,1.07163E+11,1.30206E+12
23/07/2024,24/07/2024,67537.99,67693.99,65528.37,65914.55,1.15158E+11,1.31224E+12
22/07/2024,23/07/2024,68178.02,68428.05,66617.59,67587.97,1.12174E+11,1.3313E+12
21/07/2024,22/07/2024,67102,68286.03,66038.96,68071.99,89676444049,1.32368E+12
20/07/2024,21/07/2024,66699.54,67536.34,66263.2,67182.45,1.04554E+11,1.3157E+12
19/07/2024,20/07/2024,63910.04,67348.04,63311.26,66648.03,1.01639E+11,1.28186E+12
18/07/2024,19/07/2024,64159.97,65088.95,63253.12,63966.13,99977799879,1.2674E+12
17/07/2024,18/07/2024,65076.01,66022.58,63951.49,64120.47,1.13492E+11,1.28107E+12
16/07/2024,17/07/2024,64868.03,65264.81,62529.99,65119.1,1.16542E+11,1.26428E+12
15/07/2024,16/07/2024,60876.22,64819.37,60680.22,64819.37,1.00146E+11,1.23936E+12
14/07/2024,15/07/2024,59318.59,61330.03,59316.48,60946.02,85066289307,1.18244E+12
13/07/2024,14/07/2024,57858.96,59687.99,57774.09,59174.19,83611257770,1.15058E+12
12/07/2024,13/07/2024,57299.22,58519.96,56607.98,57899.96,93418137285,1.13223E+12
11/07/2024,12/07/2024,57619.19,59282.81,57174.19,57381.96,91437938549,1.14051E+12
10/07/2024,11/07/2024,57923.75,59317.95,57193.27,57719.47,91848128823,1.1447E+12
09/07/2024,10/07/2024,56646.67,58127.91,56409.45,57995.99,1.00398E+11,1.13139E+12
08/07/2024,09/07/2024,55857.81,57909.97,54411.12,56681.81,99609702444,1.10772E+12
07/07/2024,08/07/2024,58230.16,58374.36,55818,55878.38,79631334265,1.12987E+12
06/07/2024,07/07/2024,56628.73,58398.11,56050.98,58232.99,98029265844,1.12385E+12
05/07/2024,06/07/2024,57043.9,57434.94,53761.07,56691.34,1.22554E+11,1.09828E+12
04/07/2024,05/07/2024,60208.62,60465.72,56809.43,57142,1.01842E+11,1.14906E+12
03/07/2024,04/07/2024,62127.99,62285.9,59521.02,60294.75,87751477173,1.19474E+12
02/07/2024,03/07/2024,62906,63243.07,61816.25,62127.95,83918670306,1.2322E+12
01/07/2024,02/07/2024,62771.97,63844.24,62597.62,62889.92,86017960842,1.24417E+12
30/06/2024,01/07/2024,60986.67,62990.1,60660.77,62849.53,72644110249,1.21249E+12
29/06/2024,30/06/2024,60427.81,61210,60426.02,60964.17,81524470018,1.20064E+12
28/06/2024,29/06/2024,61617.14,62200.29,60080,60427.86,86177794784,1.20609E+12
27/06/2024,28/06/2024,60854.02,62338.43,60666.19,61646.05,1.21598E+11,1.20836E+12
26/06/2024,27/06/2024,61804.76,62357.58,60761.24,60761.24,1.01706E+11,1.21057E+12
25/06/2024,26/06/2024,60297.21,62231.16,60272.58,61789.98,1.05013E+11,1.20834E+12
24/06/2024,25/06/2024,63197.97,63316.01,58946.24,60382.81,88214365730,1.21122E+12
23/06/2024,24/06/2024,64261.95,64521.03,63290.43,63290.43,68549855803,1.26533E+12
22/06/2024,23/06/2024,64131.09,64505.96,63980.01,64272.8,81694907535,1.2668E+12
21/06/2024,22/06/2024,64870,65055.95,63472,64097.29,91064047001,1.26516E+12
20/06/2024,21/06/2024,64974.38,66411.96,64595.1,64881.08,86987051059,1.28654E+12
19/06/2024,20/06/2024,65175.32,65631.97,64693.19,64950.06,99459975582,1.28376E+12
18/06/2024,19/06/2024,66487.62,66514.58,64154.04,65098.92,1.05436E+11,1.28484E+12
17/06/2024,18/06/2024,66679.37,67247.97,65199.99,66491.14,86664744891,1.30464E+12
16/06/2024,17/06/2024,66228.19,66964.66,66064.03,66661.05,76461375993,1.30908E+12
15/06/2024,16/06/2024,65992.06,66441.35,65916,66198.06,91215626050,1.30455E+12
14/06/2024,15/06/2024,66772.99,67343.12,65117.84,66052.46,98995504259,1.31052E+12
